year,temperature_C,season
1980,12.353188792711974,Pre-monsoon (MAM)
1981,11.510432093877792,Pre-monsoon (MAM)
1982,10.743292888910855,Pre-monsoon (MAM)
1983,10.719579911246257,Pre-monsoon (MAM)
1984,12.990993701229602,Pre-monsoon (MAM)
1985,13.362324595038006,Pre-monsoon (MAM)
1986,11.300027648057592,Pre-monsoon (MAM)
1987,11.597004510654113,Pre-monsoon (MAM)
1988,12.294847683568152,Pre-monsoon (MAM)
1989,11.949094298025523,Pre-monsoon (MAM)
1990,10.87443203252875,Pre-monsoon (MAM)
1991,11.910167237368102,Pre-monsoon (MAM)
1992,12.26426914065924,Pre-monsoon (MAM)
1993,10.945445650394996,Pre-monsoon (MAM)
1994,12.22156410666459,Pre-monsoon (MAM)
1995,12.439131649382821,Pre-monsoon (MAM)
1996,12.271745532059782,Pre-monsoon (MAM)
1997,10.983289014815593,Pre-monsoon (MAM)
1998,11.391072383210295,Pre-monsoon (MAM)
1999,13.665575956429821,Pre-monsoon (MAM)
2000,11.691843273169273,Pre-monsoon (MAM)
2001,11.783696924074265,Pre-monsoon (MAM)
2002,11.71377054501761,Pre-monsoon (MAM)
2003,11.599225336638794,Pre-monsoon (MAM)
2004,13.588573698043101,Pre-monsoon (MAM)
2005,11.769827813831514,Pre-monsoon (MAM)
2006,12.061624122151365,Pre-monsoon (MAM)
2007,12.198962194106949,Pre-monsoon (MAM)
2008,12.492632617648933,Pre-monsoon (MAM)
2009,12.908729573198338,Pre-monsoon (MAM)
2010,14.165616376627355,Pre-monsoon (MAM)
2011,11.768619052907859,Pre-monsoon (MAM)
2012,11.828707492565572,Pre-monsoon (MAM)
2013,12.168870637179698,Pre-monsoon (MAM)
2014,11.602796347814806,Pre-monsoon (MAM)
2015,11.190061719730664,Pre-monsoon (MAM)
2016,13.467366150140162,Pre-monsoon (MAM)
2017,12.432575008859033,Pre-monsoon (MAM)
2018,12.762960397244793,Pre-monsoon (MAM)
2019,11.892560263055548,Pre-monsoon (MAM)
