year,precipitation_mm
1980,3.650617678346889
1981,3.644856173414239
1982,3.1642541987755646
1983,3.4959204578322787
1984,3.710110424321714
1985,3.7208140464427144
1986,3.459120243656131
1987,3.4249862617932405
1988,3.9358559737254804
1989,3.6696820612953
1990,4.271629326376767
1991,3.320693405674874
1992,2.9190250071138206
1993,3.7101398508583463
1994,3.292473482147387
1995,3.891767688946254
1996,4.0879200064215775
1997,3.846190623801646
1998,4.18638496496776
1999,3.7983672251349576
2000,4.02366774227721
2001,3.62172957191062
2002,3.7458639977402517
2003,4.258266012680985
2004,3.5243062624922317
2005,3.441667051650806
2006,3.262179573029307
2007,4.441293077503591
2008,4.269935611566577
2009,3.385114722521625
2010,3.9738684937868642
2011,4.114777778288703
2012,3.656199206843928
2013,4.242218672278833
2014,3.5855812696248037
2015,3.3487070806984303
2016,4.032846533086191
2017,3.8322678000676533
2018,3.8895099850035204
2019,4.232274929278707
2020,4.502456296405705
2021,4.605435306554367
2022,3.863736399086876
2023,3.5429664748680247
