year,precipitation_mm,season
1980,1.5956963176198948,Pre-monsoon (MAM)
1981,2.008656809769561,Pre-monsoon (MAM)
1982,1.6612982056116488,Pre-monsoon (MAM)
1983,1.9789832781931846,Pre-monsoon (MAM)
1984,1.3257393704332763,Pre-monsoon (MAM)
1985,1.2751139940627483,Pre-monsoon (MAM)
1986,1.546820936118028,Pre-monsoon (MAM)
1987,1.377027835708613,Pre-monsoon (MAM)
1988,1.5879385784332984,Pre-monsoon (MAM)
1989,1.647871635546305,Pre-monsoon (MAM)
1990,2.440832848452279,Pre-monsoon (MAM)
1991,1.453662538036315,Pre-monsoon (MAM)
1992,1.3134691362767852,Pre-monsoon (MAM)
1993,2.075548777568588,Pre-monsoon (MAM)
1994,1.5019988286883772,Pre-monsoon (MAM)
1995,1.3930578403642033,Pre-monsoon (MAM)
1996,1.3288679566789492,Pre-monsoon (MAM)
1997,1.6983586890819287,Pre-monsoon (MAM)
1998,2.1083199206380376,Pre-monsoon (MAM)
1999,1.5281579472595048,Pre-monsoon (MAM)
2000,2.36497412629181,Pre-monsoon (MAM)
2001,2.1433164490437093,Pre-monsoon (MAM)
2002,2.0969024939909304,Pre-monsoon (MAM)
2003,1.400139996501115,Pre-monsoon (MAM)
2004,1.9732013352805289,Pre-monsoon (MAM)
2005,1.2599529612342468,Pre-monsoon (MAM)
2006,2.1451003651554985,Pre-monsoon (MAM)
2007,1.8037357122386306,Pre-monsoon (MAM)
2008,1.708975667998459,Pre-monsoon (MAM)
2009,1.6677354999630316,Pre-monsoon (MAM)
2010,1.237301474348664,Pre-monsoon (MAM)
2011,1.6998896739883003,Pre-monsoon (MAM)
2012,1.0618582226033386,Pre-monsoon (MAM)
2013,1.6492656501508793,Pre-monsoon (MAM)
2014,1.4089963024195302,Pre-monsoon (MAM)
2015,2.1858770363954823,Pre-monsoon (MAM)
2016,1.8286810604280723,Pre-monsoon (MAM)
2017,2.2055576743637766,Pre-monsoon (MAM)
2018,1.9141469138113234,Pre-monsoon (MAM)
2019,1.391815924674046,Pre-monsoon (MAM)
2020,2.3579913245027044,Pre-monsoon (MAM)
2021,2.9417196443883684,Pre-monsoon (MAM)
2022,1.7686551854243089,Pre-monsoon (MAM)
2023,1.8197789370296722,Pre-monsoon (MAM)
1980,8.793453338272808,Monsoon (JJAS)
1981,8.353602909727417,Monsoon (JJAS)
1982,6.9191640641709915,Monsoon (JJAS)
1983,7.651430986117964,Monsoon (JJAS)
1984,9.044744499742821,Monsoon (JJAS)
1985,8.317353912511164,Monsoon (JJAS)
1986,7.895349855472236,Monsoon (JJAS)
1987,7.97938837834146,Monsoon (JJAS)
1988,9.5526108973172,Monsoon (JJAS)
1989,8.543255133817794,Monsoon (JJAS)
1990,9.540976493119,Monsoon (JJAS)
1991,7.741662486538198,Monsoon (JJAS)
1992,6.4434906326224795,Monsoon (JJAS)
1993,8.39322089291425,Monsoon (JJAS)
1994,7.379340751441283,Monsoon (JJAS)
1995,8.897267081818809,Monsoon (JJAS)
1996,9.333382212748548,Monsoon (JJAS)
1997,8.475667352467067,Monsoon (JJAS)
1998,9.839150688835167,Monsoon (JJAS)
1999,9.0510879609505,Monsoon (JJAS)
2000,9.213110822786303,Monsoon (JJAS)
2001,7.923244384840943,Monsoon (JJAS)
2002,8.149142960489058,Monsoon (JJAS)
2003,10.177147696126259,Monsoon (JJAS)
2004,7.776474212912186,Monsoon (JJAS)
2005,7.863453034804537,Monsoon (JJAS)
2006,7.353449054902037,Monsoon (JJAS)
2007,10.510825266051517,Monsoon (JJAS)
2008,10.570170132701364,Monsoon (JJAS)
2009,7.463000109928324,Monsoon (JJAS)
2010,9.851526784508073,Monsoon (JJAS)
2011,9.998289520810431,Monsoon (JJAS)
2012,8.967353810373561,Monsoon (JJAS)
2013,9.177186255810657,Monsoon (JJAS)
2014,7.8566372787769945,Monsoon (JJAS)
2015,7.094261077238601,Monsoon (JJAS)
2016,9.696953953369471,Monsoon (JJAS)
2017,8.98438494551234,Monsoon (JJAS)
